"id";"secid";"open";"close";"high";"low";"value";"volume";"dt";"dt_end"
17919;"IMOEX";2483.92;2548.63;2556.67;2483.79;70959379219.55;0.0;2023-05-10 00:00:00.000;2023-05-10 23:59:59.000
17920;"IMOEX";2573.41;2595.12;2610.8;2567.98;74640203057.4;0.0;2023-05-11 00:00:00.000;2023-05-11 23:59:59.000
17921;"IMOEX";2570.65;2565.17;2584.91;2552.05;37663735250.9;0.0;2023-05-12 00:00:00.000;2023-05-12 23:59:59.000
17922;"IMOEX";2581.64;2611.07;2611.71;2581.64;43944338845.4;0.0;2023-05-15 00:00:00.000;2023-05-15 23:59:59.000
17923;"IMOEX";2645.94;2633.71;2655.73;2621.59;42646373333.2;0.0;2023-05-16 00:00:00.000;2023-05-16 23:59:59.000
17924;"IMOEX";2637.51;2634.48;2646.61;2623.15;38940434444.55;0.0;2023-05-17 00:00:00.000;2023-05-17 23:59:59.000
17925;"IMOEX";2650.12;2632.91;2658.57;2624.49;59453341862.7;0.0;2023-05-18 00:00:00.000;2023-05-18 23:59:59.000
17926;"IMOEX";2627.59;2626.16;2635.8;2612.47;58915837809.3;0.0;2023-05-19 00:00:00.000;2023-05-19 23:59:59.000
17927;"IMOEX";2648.3;2633.26;2652.97;2622.35;47631848454.95;0.0;2023-05-22 00:00:00.000;2023-05-22 23:59:59.000
17928;"IMOEX";2641.05;2641.66;2648.69;2607.63;71936165173.9;0.0;2023-05-23 00:00:00.000;2023-05-23 23:59:59.000
17929;"IMOEX";2643.73;2654.99;2659.68;2626.43;71756125244.55;0.0;2023-05-24 00:00:00.000;2023-05-24 23:59:59.000
17930;"IMOEX";2662.85;2649.98;2663.51;2631.03;66820699399.05;0.0;2023-05-25 00:00:00.000;2023-05-25 23:59:59.000
17931;"IMOEX";2650.38;2682.03;2685.14;2645.54;52536425210.15;0.0;2023-05-26 00:00:00.000;2023-05-26 23:59:59.000
17932;"IMOEX";2697.46;2732.0;2732.0;2697.46;66140079776.4;0.0;2023-05-29 00:00:00.000;2023-05-29 23:59:59.000
17933;"IMOEX";2712.04;2698.75;2748.6;2687.81;90132343989.3;0.0;2023-05-30 00:00:00.000;2023-05-30 23:59:59.000
17934;"IMOEX";2698.11;2717.64;2718.27;2676.27;58274293697.45;0.0;2023-05-31 00:00:00.000;2023-05-31 23:59:59.000
17935;"IMOEX";2720.21;2721.73;2729.97;2709.33;43398021905.95;0.0;2023-06-01 00:00:00.000;2023-06-01 23:59:59.000
17936;"IMOEX";2684.59;2719.48;2720.47;2684.59;66776774006.3;0.0;2023-06-02 00:00:00.000;2023-06-02 23:59:59.000
17937;"IMOEX";2726.17;2694.14;2738.82;2679.3;76307627682;0.0;2023-06-05 00:00:00.000;2023-06-05 23:59:59.000
17938;"IMOEX";2667.76;2681.25;2687.41;2628.0;76433900154.6;0.0;2023-06-06 00:00:00.000;2023-06-06 23:59:59.000
17939;"IMOEX";2690.94;2694.69;2711.72;2674.11;55873417951.1;0.0;2023-06-07 00:00:00.000;2023-06-07 23:59:59.000
17940;"IMOEX";2693.6;2709.69;2709.69;2688.31;38267334626.35;0.0;2023-06-08 00:00:00.000;2023-06-08 23:59:59.000
17941;"IMOEX";2717.2;2708.04;2721.84;2705.24;39244085182.5;0.0;2023-06-09 00:00:00.000;2023-06-09 23:59:59.000
17942;"IMOEX";2715.31;2757.28;2757.28;2715.15;52360263412.3;0.0;2023-06-13 00:00:00.000;2023-06-13 23:59:59.000
17943;"IMOEX";2777.2;2765.18;2786.06;2758.35;59477469249.1;0.0;2023-06-14 00:00:00.000;2023-06-14 23:59:59.000
17944;"IMOEX";2776.77;2800.17;2809.42;2764.89;70674603849.85;0.0;2023-06-15 00:00:00.000;2023-06-15 23:59:59.000
17945;"IMOEX";2809.28;2800.79;2813.74;2783.71;46090977475.15;0.0;2023-06-16 00:00:00.000;2023-06-16 23:59:59.000
17946;"IMOEX";2808.04;2815.07;2816.57;2783.69;67392787319.35;0.0;2023-06-19 00:00:00.000;2023-06-19 23:59:59.000
17947;"IMOEX";2810.14;2803.69;2814.72;2778.0;57147026333.9;0.0;2023-06-20 00:00:00.000;2023-06-20 23:59:59.000
17948;"IMOEX";2808.87;2819.3;2821.88;2794.68;45230035006.2;0.0;2023-06-21 00:00:00.000;2023-06-21 23:59:59.000
17949;"IMOEX";2817.3;2815.83;2820.43;2805.92;34384928911.25;0.0;2023-06-22 00:00:00.000;2023-06-22 23:59:59.000
17950;"IMOEX";2790.04;2795.06;2795.06;2767.82;44229380378.2;0.0;2023-06-23 00:00:00.000;2023-06-23 23:59:59.000
17951;"IMOEX";2771.52;2757.13;2784.28;2741.33;55763545917.45;0.0;2023-06-26 00:00:00.000;2023-06-26 23:59:59.000
17952;"IMOEX";2759.61;2776.63;2785.33;2743.07;54247868187.05;0.0;2023-06-27 00:00:00.000;2023-06-27 23:59:59.000
17953;"IMOEX";2781.1;2780.92;2787.52;2766.93;50203546474.6;0.0;2023-06-28 00:00:00.000;2023-06-28 23:59:59.000
17954;"IMOEX";2790.27;2796.41;2804.8;2783.53;45359611884.85;0.0;2023-06-29 00:00:00.000;2023-06-29 23:59:59.000
17955;"IMOEX";2796.0;2797.37;2800.12;2779.61;43918551469.5;0.0;2023-06-30 00:00:00.000;2023-06-30 23:59:59.000
17956;"IMOEX";2795.58;2793.93;2804.93;2790.81;53480309453.55;0.0;2023-07-03 00:00:00.000;2023-07-03 23:59:59.000
17957;"IMOEX";2798.02;2808.22;2808.22;2776.79;50001620295.6;0.0;2023-07-04 00:00:00.000;2023-07-04 23:59:59.000
17958;"IMOEX";2795.4;2805.0;2813.76;2795.4;40919409057.8;0.0;2023-07-05 00:00:00.000;2023-07-05 23:59:59.000
17959;"IMOEX";2816.74;2819.6;2837.49;2813.38;49025725832.85;0.0;2023-07-06 00:00:00.000;2023-07-06 23:59:59.000
17960;"IMOEX";2823.89;2832.51;2832.82;2814.38;35233849809;0.0;2023-07-07 00:00:00.000;2023-07-07 23:59:59.000
17961;"IMOEX";2838.85;2856.76;2864.32;2838.52;87970608406.8;0.0;2023-07-10 00:00:00.000;2023-07-10 23:59:59.000
17962;"IMOEX";2865.64;2860.33;2867.36;2851.01;54684261681;0.0;2023-07-11 00:00:00.000;2023-07-11 23:59:59.000
17963;"IMOEX";2870.61;2896.83;2897.28;2870.61;49227664370.65;0.0;2023-07-12 00:00:00.000;2023-07-12 23:59:59.000
17964;"IMOEX";2899.98;2885.63;2912.15;2873.0;49847140055.9;0.0;2023-07-13 00:00:00.000;2023-07-13 23:59:59.000
17965;"IMOEX";2882.96;2902.72;2902.72;2874.44;39987004923.45;0.0;2023-07-14 00:00:00.000;2023-07-14 23:59:59.000
17966;"IMOEX";2889.09;2917.61;2917.72;2880.11;53443542845.8;0.0;2023-07-17 00:00:00.000;2023-07-17 23:59:59.000
17967;"IMOEX";2923.69;2954.52;2955.81;2922.74;77193330616.55;0.0;2023-07-18 00:00:00.000;2023-07-18 23:59:59.000
17968;"IMOEX";2959.41;2943.43;2966.72;2938.66;58857210252.15;0.0;2023-07-19 00:00:00.000;2023-07-19 23:59:59.000
17969;"IMOEX";2947.08;2917.48;2947.29;2905.02;61399540098.3;0.0;2023-07-20 00:00:00.000;2023-07-20 23:59:59.000
17970;"IMOEX";2890.45;2923.54;2925.54;2889.78;45191958198.35;0.0;2023-07-21 00:00:00.000;2023-07-21 23:59:59.000
17971;"IMOEX";2929.23;2937.47;2947.17;2925.1;44299432857.5;0.0;2023-07-24 00:00:00.000;2023-07-24 23:59:59.000
